uuid,Model Type,MARD,2.1.1,Diff,
2197,Normal,10.39,10.13,-0.26,721
2200,Normal,9.37,8.24,-1.13,329
2133,Normal,9.62,8.64,-0.98,667
2131,Normal,7.14,7.59,0.45,799
2208,Normal,10.74,10.82,0.09,564
2205,Normal,11.03,10.32,-0.71,695
2199,Normal,15.38,2.81,-12.57,1327
2202,Normal,3.65,10.72,7.07,884
2215,Normal,10.58,9.16,-1.42,1223
2223,Normal,9.60,12.24,2.63,486
2230,Normal,11.43,31.33,19.90,189
2246,Normal,8.91,7.76,-1.15,502
2249,Normal,13.80,13.62,-0.18,2528
2253,Normal,5.65,5.49,-0.15,605
2261,Normal,11.75,11.64,-0.11,10573
2262,Normal,9.53,9.45,-0.09,8006
2257,Normal,10.02,10.33,0.31,5481
2218,Normal,18.62,15.09,-3.53,22091
2198,Normal,9.08,8.96,-0.12,4796
2196,Normal,7.22,7.68,0.46,1002
2206,Normal,7.43,7.38,-0.05,864
2201,Normal,9.21,8.91,-0.30,1284
2204,Normal,6.10,6.71,0.60,1180
2203,Normal,8.12,7.85,-0.27,726
2207,Normal,7.80,7.65,-0.15,1163
2210,Normal,8.43,8.10,-0.33,835
2209,Normal,7.37,7.96,0.59,256
2219,Normal,6.48,17.71,11.23,1245
2217,Normal,14.54,6.98,-7.55,14125
2216,Normal,10.58,14.50,3.92,9525
2214,Normal,8.96,11.46,2.51,875
2226,Normal,9.81,8.70,-1.12,2160
2224,Normal,8.00,9.52,1.52,3860
2235,Normal,30.55,8.33,-22.22,688
2227,Normal,12.52,13.16,0.64,2915
2225,Normal,7.16,7.51,0.35,3586
2236,Normal,10.42,10.21,-0.21,4419
2248,Normal,8.89,9.08,0.19,2093
2251,Normal,10.94,13.69,2.75,316
2279,Normal,7.36,7.27,-0.08,5612
2278,Normal,16.80,10.04,-6.76,813
2276,Normal,8.43,17.40,8.97,300
2281,Normal,14.50,18.41,3.91,1708
2285,Normal,25.51,22.83,-2.69,4679
2286,Normal,23.67,27.40,3.73,8777
2294,Normal,5.73,5.55,-0.18,1255
2293,Normal,18.05,18.12,0.07,4476
2295,Normal,9.56,9.06,-0.49,949
2291,Normal,12.61,12.49,-0.12,700
2298,Normal,15.41,17.76,2.35,540
2300,Normal,10.24,13.13,2.89,1009
2299,Normal,11.61,12.13,0.53,1258
2304,Normal,13.15,14.75,1.61,385
2305,Normal,11.18,10.47,-0.71,620
2306,Normal,14.23,14.21,-0.02,1203
2130,Normal,8.72,8.64,-0.09,783
2132,Normal,8.51,8.80,0.29,1321
2322,Normal,10.36,10.50,0.14,543
2329,Normal,9.62,9.27,-0.35,6717
2352,Normal,15.28,18.62,3.33,524
2378,Normal,17.32,17.38,0.06,875
2397,Normal,14.05,14.62,0.57,816
